ticker,xgb_3d_prob,ensemble_3d_prob,xgb_3d_signal,ens_1d_prob,both_agree,combined_signal
TATAELXSI.NS,77.8,74.5,🟢 STRONG BULLISH,45.2,False,🔵 3d only bullish
PNCINFRA.NS,80.9,74.2,🟢 STRONG BULLISH,43.7,False,🔵 3d only bullish
NMDC.NS,75.4,73.6,🟢 STRONG BULLISH,42.0,False,🔵 3d only bullish
VINATIORGA.NS,77.2,72.3,🟢 STRONG BULLISH,48.9,False,🔵 3d only bullish
SYNGENE.NS,74.7,71.7,🟢 STRONG BULLISH,41.9,False,🔵 3d only bullish
BALAMINES.NS,77.5,70.6,🟢 STRONG BULLISH,56.9,True,🟢 STRONG — Both 1d & 3d agree
GODREJPROP.NS,72.5,70.1,🟢 STRONG BULLISH,45.3,False,🔵 3d only bullish
JPPOWER.NS,70.5,70.1,🟢 STRONG BULLISH,42.5,False,🔵 3d only bullish
MARUTI.NS,71.2,69.7,🟢 STRONG BULLISH,45.8,False,🔵 3d only bullish
BRIGADE.NS,72.1,68.0,🟢 STRONG BULLISH,56.4,True,🟢 STRONG — Both 1d & 3d agree
PRESTIGE.NS,66.6,67.4,🟢 STRONG BULLISH,39.5,False,🔵 3d only bullish
VOLTAS.NS,68.4,67.4,🟢 STRONG BULLISH,41.3,False,🔵 3d only bullish
TITAN.NS,68.3,66.3,🟢 STRONG BULLISH,42.9,False,🔵 3d only bullish
BHARAT22ETF.NS,68.5,66.1,🟢 STRONG BULLISH,45.1,False,🔵 3d only bullish
IRCON.NS,65.2,65.4,🟢 STRONG BULLISH,51.0,False,🔵 3d only bullish
SAIL.NS,65.7,64.9,🟢 STRONG BULLISH,40.9,False,🔵 3d only bullish
EASEMYTRIP.NS,68.1,64.7,🟢 STRONG BULLISH,41.6,False,🔵 3d only bullish
ALKYLAMINE.NS,66.8,64.5,🟢 STRONG BULLISH,42.8,False,🔵 3d only bullish
BIKAJI.NS,69.9,64.5,🟢 STRONG BULLISH,44.6,False,🔵 3d only bullish
MANAPPURAM.NS,63.7,64.3,🟢 STRONG BULLISH,45.3,False,🔵 3d only bullish
COFORGE.NS,70.8,64.3,🟢 STRONG BULLISH,46.7,False,🔵 3d only bullish
SPICEJET.NS,60.4,64.2,🟢 STRONG BULLISH,47.0,False,🔵 3d only bullish
COCHINSHIP.NS,64.9,64.1,🟢 STRONG BULLISH,47.8,False,🔵 3d only bullish
BLS.NS,65.0,63.7,🟢 STRONG BULLISH,42.2,False,🔵 3d only bullish
HAVELLS.NS,65.5,63.5,🟢 STRONG BULLISH,53.6,False,🔵 3d only bullish
HINDALCO.NS,66.0,63.4,🟢 STRONG BULLISH,42.9,False,🔵 3d only bullish
FIVESTAR.NS,72.1,63.4,🟢 STRONG BULLISH,46.8,False,🔵 3d only bullish
LTIM.NS,58.5,63.2,🟢 STRONG BULLISH,42.0,False,🔵 3d only bullish
IIFL.NS,63.8,63.2,🟢 STRONG BULLISH,38.6,False,🔵 3d only bullish
APLAPOLLO.NS,67.6,63.1,🟢 STRONG BULLISH,50.1,False,🔵 3d only bullish
JYOTHYLAB.NS,63.1,63.1,🟢 STRONG BULLISH,39.9,False,🔵 3d only bullish
NAVINFLUOR.NS,66.7,62.9,🟢 STRONG BULLISH,46.4,False,🔵 3d only bullish
ADANIENSOL.NS,64.9,62.7,🟢 STRONG BULLISH,44.8,False,🔵 3d only bullish
BAJAJ-AUTO.NS,63.7,62.5,🟢 STRONG BULLISH,43.1,False,🔵 3d only bullish
HEROMOTOCO.NS,66.0,62.5,🟢 STRONG BULLISH,36.8,False,🔵 3d only bullish
JSWSTEEL.NS,64.5,62.5,🟢 STRONG BULLISH,43.7,False,🔵 3d only bullish
INDIAMART.NS,65.4,62.5,🟢 STRONG BULLISH,47.4,False,🔵 3d only bullish
BSE.NS,66.6,62.4,🟢 STRONG BULLISH,42.6,False,🔵 3d only bullish
MASTEK.NS,61.9,62.3,🟢 STRONG BULLISH,42.3,False,🔵 3d only bullish
OBEROIRLTY.NS,65.2,62.2,🟢 STRONG BULLISH,37.9,False,🔵 3d only bullish
AMBER.NS,62.3,62.1,🟢 STRONG BULLISH,42.6,False,🔵 3d only bullish
CAMS.NS,62.0,62.1,🟢 STRONG BULLISH,42.6,False,🔵 3d only bullish
DEVYANI.NS,63.5,62.0,🟢 STRONG BULLISH,39.4,False,🔵 3d only bullish
BOSCHLTD.NS,62.2,61.9,🟢 STRONG BULLISH,40.8,False,🔵 3d only bullish
SUZLON.NS,60.5,61.9,🟢 STRONG BULLISH,41.2,False,🔵 3d only bullish
BAJAJFINSV.NS,63.1,61.8,🟢 STRONG BULLISH,45.1,False,🔵 3d only bullish
DATAPATTNS.NS,61.0,61.7,🟢 STRONG BULLISH,42.7,False,🔵 3d only bullish
SIEMENS.NS,63.9,61.6,🟢 STRONG BULLISH,47.7,False,🔵 3d only bullish
SILVERBEES.NS,62.2,61.5,🟢 STRONG BULLISH,38.4,False,🔵 3d only bullish
BERGEPAINT.NS,59.1,61.5,🟢 STRONG BULLISH,46.4,False,🔵 3d only bullish
NIFTYBEES.NS,61.8,61.5,🟢 STRONG BULLISH,40.3,False,🔵 3d only bullish
BAJFINANCE.NS,62.3,61.3,🟢 STRONG BULLISH,45.0,False,🔵 3d only bullish
NBCC.NS,60.3,61.3,🟢 STRONG BULLISH,36.1,False,🔵 3d only bullish
TECHM.NS,63.7,61.3,🟢 STRONG BULLISH,39.4,False,🔵 3d only bullish
M&M.NS,61.4,61.2,🟢 STRONG BULLISH,41.7,False,🔵 3d only bullish
IOB.NS,62.8,61.2,🟢 STRONG BULLISH,46.7,False,🔵 3d only bullish
PIDILITIND.NS,61.1,61.1,🟢 STRONG BULLISH,39.0,False,🔵 3d only bullish
NAM-INDIA.NS,62.3,61.1,🟢 STRONG BULLISH,44.7,False,🔵 3d only bullish
UBL.NS,63.7,61.1,🟢 STRONG BULLISH,44.4,False,🔵 3d only bullish
